Code,Title,Levels,Runtime,RelDate,Season,Authors,Tier,Price,Seed,G.Ad.,Eber,RMH,Epic,URL
CCC-BMG-47-HILL 3-2,Suffer the Children,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/266617/CCCBMG47-HILL-32-Suffer-the-Children
CCC-BMG-48-HILL 3-3,Spare the Rod,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/266618/CCCBMG48-HILL-33-Spare-the-Rod?affiliate_id=171040
CCC-BMG-HILL1S,Onslaught,5-10,4,,,,,,,,,,TRUE,
CCC-BMG-HILL2S,Hillsfar Runs Red,5-10,4,,,,,,,,,,TRUE,
CCC-BMG-HULB1S,Extinction,5-10,4,,,,,,,,,,TRUE,
CCC-BMG-HULB2S,Winter's Feast,5-10,4,,,,,,,,,,TRUE,
CCC-BMG-MOON,Moonshae Isles Regional Guide,n/a,n/a,,,,,,,,,,,
CCC-BMG-MOON2-1,Defenders of Caer Moray,1-4,2-4,,,,,,,,,,,https://www.dmsguild.com/product/266890/CCCBMGMOON21-Defenders-of-Caer-Moray
CCC-BMG-MOON2-2,Army of the Unseen,1-4,2-4,,,,,,,,,,,https://www.dmsguild.com/product/267912/CCCBMGMOON22-Army-of-the-Unseen
CCC-BMG-MOON2-3,The Eye in the Mist,1-4,2-4,,,,,,,,,,,https://www.dmsguild.com/product/269351/CCCBMGMOON23-The-Eye-in-the-Mist
CCC-BMG-PHLAN1S,Uprising,11-16,4,,,,,,,,,,TRUE,
CCC-BMG-PHLAN2S,Damnation,11-16,4,,,,,,,,,,TRUE,
CCC-BWM-001,Howling on the Moonsea,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/253539/CCCBWM001-Howling-on-the-Moonsea
CCC-BWM-002,The City in the Depths,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/253855/CCC--BWM--002-The-City-in-the-Depths
CCC-BWM-003,A Tale of Two Towers,11-16,4,,,,,,,,,,,https://www.dmsguild.com/product/253558/CCC--BWM--003-A-Tale-of-Two-Towers
CCC-BWM-06,Introduction to Adventuring,1-4,1,,,,,,,,,,,https://www.dmsguild.com/product/278603/CCCBWM06-Introduction-to-Adventuring
CCC-CIC-01,The Vault of the Devourer,1-4,4,,,,,,,,,,,
CCC-CIC-02,The Clockwork Laboratory,5-10,4,,,,,,,,,,,
CCC-CIC-03,The Desolate Undercroft,5-10,4,,,,,,,,,,,
CCC-CIC-04,Best Friends Forever,5-10,4,,,,,,,,,,,
CCC-CIC-05,Donum Vitae,5-10,4,,,,,,,,,,,
CCC-CIC-06,End of the Line,1-4,4,,,,,,,,,,,
CCC-CIC-07,Pieces of You,5-10,4,,,,,,,,,,,
CCC-CIC-08,The Last Voyage of the Woolgathering Tidsoptimist,1-4,4,,,,,,,,,,,
CCC-CIC-09,Steamy Shores of Danger,1-4,2-4,,,,,,,,,,,
CCC-CIC-10,Terror at Soward Manor,5-10,4,,,,,,,,,,,
CCC-CIC-11,Death at Peril Island,5-10,4,,,,,,,,,,,
CCC-CIC-12,Redemption at Talos Sound,5-10,4,,,,,,,,,,,
CCC-CNE-01,The Treasure Beneath,5-10,4,,,,,,,,,,,
CCC-CNE-02,Before The Hatch,5-10,4,,,,,,,,,,,
CCC-CNE-03,Into The Depths,5-10,4,,,,,,,,,,,
CCC-COTN-01-01,By The Seashore: A Red War Tale,1-4,2,,,,,,,,,,,
CCC-DDSC-01,Murder at the Stop,1-4,4,,,,,,,,,,,
CCC-DDSC-02,A Fool and His Gold,1-4,4,,,,,,,,,,,
CCC-DES01-01,Finding the Rabbit Hole,5-10,4,,,,,,,,,,,
CCC-DES01-02,A Sanity Never Questioned,5-10,4,,,,,,,,,,,
CCC-DES01-04,An Answer Never Offered,5-10,2,,,,,,,,,,,
CCC-DRUID-01,The Scourge Unseen,5-10,4,,,,,,,,,,,
CCC-ELF-01,Life's A Party,1-4,4,,,,,,,,,,,
CCC-ELF-02,An Adventuring Party Walks Into A Bar,1-4,4,,,,,,,,,,,
CCC-ELO-01,For the Kids!,1-4,4,,,,,,,,,,,
CCC-ELO-02,The Four Kids,1-4,2-4,,,,,,,,,,,
CCC-FC3-01-02,Tales of Estirwald: Corruption of the Elderoak,5-10,4,,,,,,,,,,,
CCC-FC3-01-03,Tales of Estirwald: The Fun House,11-16,4,,,,,,,,,,,
CCC-FXC-01,Nothing Happens in Elmwood,1-4,2,,,,,,,,,,,
CCC-GAD01-01,Broken Blade,5-10,2-4,,,,,,,,,,,
CCC-GAD01-02,Red War: Black Phoenix,5-10,2-4,,,,,,,,,,,
CCC-GAD01-03,Caught in Time,11-16,4-6,,,,,,,,,,,
CCC-GARY-01,A Night to Remember,5-10,2,,,,,,,,,,,
CCC-GARY-02,To Find a Way Out,5-10,2,,,,,,,,,,,
CCC-GARY-03,"Oh, We're In It, Now",5-10,2,,,,,,,,,,,
CCC-GARY-04,The Darkness of the Mountains,1-4,2,,,,,,,,,,,
CCC-GARY-05,The Shadows of the Trees,1-4,2,,,,,,,,,,,
CCC-GARY-06,The Death Beneath the Roots,1-4,2,,,,,,,,,,,
CCC-GARY-07,The Mirror of Gulthias,5-10,2,,,,,,,,,,,
CCC-GARY-08,That Wich Lies Buried,5-10,2,,,,,,,,,,,
CCC-GARY-09,The Witch Maiden,5-10,2,,,,,,,,,,,
CCC-GEL-01,Bedlam at the Benefit,1-4,2,,,,,,,,,,,
CCC-GHC-01,Tharaera Lost,5-10,2,,,,,,,,,,,
CCC-GHC-02,Skulljaw Hill,5-10,2,,,,,,,,,,,
CCC-GHC-03,Facing the Dark,5-10,2,,,,,,,,,,,
CCC-GHC-04,Shade of the Dark,5-10,2,,,,,,,,,,,
CCC-GHC-05,Trail of Treachery,5-10,2,,,,,,,,,,,
CCC-GHC-06,What You Wish For,5-10,2,,,,,,,,,,,
CCC-GHC-07,The River Runs Red,11-16,2,,,,,,,,,,,
CCC-GHC-08,Death in the Ruins,11-16,2,,,,,,,,,,,
CCC-GHC-09,Swamp of Death,11-16,2,,,,,,,,,,,
CCC-GHC-BORDER,Border Kingdoms Region Guide,n/a,n/a,,,,,,,,,,,
CCC-GHCBK1-01,Into the Border Kingdoms,1-4,2,,,,,,,,,,,
CCC-GHCBK1-02,The Tithes That Bind,5-10,4,,,,,,,,,,,
CCC-GHCBK1-03,The Darkest Knight,5-10,4,,,,,,,,,,,
CCC-GHCBK1-04,I am the Fire,5-10,4,,,,,,,,,,,
CCC-GHCBK1-05,For the Glory of Bloutar!,5-10,4,,,,,,,,,,,
CCC-GHCBK1-06,Legacy and Virtue,1-4,2-4,,,,,,,,,,,
CCC-GHCBK1-07,The Peculiar Case of the Selptan Felines,1-4,2-4,,,,,,,,,,,
CCC-GHCBK1-08,The Hunt for Cutter Jack,1-4,2,,,,,,,,,,,
CCC-GHCBK1-09,Scavengers,1-4,2-4,,,,,,,,,,,
CCC-GHCBK1-10,The Heart of Shadow,11-16,4,,,,,,,,,,,
CCC-GLIP-0101,Glip-Dak,1-4,2,,,,,,,,,,,
CCC-GLIP-0102,Beneath Glip-Dak,1-4,2,,,,,,,,,,,
CCC-GLIP-0103,Citadel of Vlaakith,1-4,4,,,,,,,,,,,
