Code,DC Name,Seed Name,Tier,Duration,Copies Sold,Date Published,Badge Rank
WBW-DC-HH-02,Trial of Flower,Create a Domain of Delight,2,4,,Feb 2022,
WBW-DC-HIP-01,The Song of the Nightingale,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-IDL-01,One For Sorrow,Create a Domain of Delight,2,2,,May 2022,
WBW-DC-IDL-02,Two For Flinching,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-IDL-03,Three For Free,Create a Domain of Delight,2,2,,Aug 2022,
WBW-DC-JOQ-01,Dancing at Her Funeral,Create a Domain of Delight,1,4,,Oct 2021,
WBW-DC-JOQ-02,"Mirror, Mirror…",Create a Domain of Delight,1,4,,Nov 2021,
WBW-DC-JOQ-03,Giant Serenade,Create a Domain of Delight,1,4,,Nov 2021,
WBW-DC-JOQ-04,Vanishing the Lady,Create a Domain of Delight,1,4,,Dec 2021,
WBW-DC-JSH-CEL1,Better with Friends,Create a Domain of Delight,2,2,,Aug 2022,
WBW-DC-JSH-LIB-01,Inter-Library Interception,Create a Domain of Delight,1,2,,Aug 2022,
WBW-DC-JSH-LIB-02,Search Engine Optimization,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-JSH-LIB-03,Between Covers and Through Tales,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-JSH-LIB-04,Brightly Burn the Flames of Knowledge,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-KCB-01,Sugar Rush,Create a Domain of Delight,1,4,,Oct 2021,
WBW-DC-KCB-02,Everything's Fine,Create a Domain of Delight,2,4,,Feb 2022,
WBW-DC-KCB-03,In Vulnerability,Create a Domain of Delight,2,2,,Feb 2022,
WBW-DC-KCB-05,Fishing in the Dark,Create a Domain of Delight,1,2,,Aug 2022,
WBW-DC-KW-01,Pinepetal's Petty Pilfering,Sticky Little Fingers,1,4,,Mar 2022,
WBW-DC-KW-02,Fair Felonious Faces,Face Off!,2,4,,Aug 2022,
WBW-DC-KW-03,Druscilla's Dangerous Day,A Draconic Request,2,4,,Aug 2022,
WBW-DC-KW-04,Morena's Mysterious Mark,Woe Unto Ewe,2,4,,Aug 2022,
WBW-DC-KW-05,Heavenly Hare Hunt,Wild Hunt,2,4,,Aug 2022,
WBW-DC-LAB-01,Kobold King's Labyrinth,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-LEGIT-SV-04,The City of Starlight,Create a Domain of Delight,1,4,,Oct 2021,
WBW-DC-LEGIT-SV-05,The Inexorable Span,Create a Domain of Delight,2,4,,Mar 2022,
WBW-DC-LEGIT-SV-06,The Calamity Jar,Create a Domain of Delight,2,4,,Jun 2022,
WBW-DC-LIGA01,Breath on the Run,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-LIGA02,Between one World and Another,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-LIGA03,Clash of Reality,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-LSN-01,The Hat That Spat Rats,Create a Domain of Delight,1,4,,Feb 2022,
WBW-DC-LSN-02,The Party in a Box,Create a Domain of Delight,1,4,,Mar 2022,
WBW-DC-LSN-03,That Nice Old Lady,Create a Domain of Delight,1,4,,Jun 2022,
WBW-DC-LSN-04,Sugar & Spice & Everything Nice,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-LUN-01,Spectacle at Shrineholt,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-MC-01,Memento Motus: Séance for the Lost,Create a Domain of Delight,?,4,,Aug 2022,
WBW-DC-MEM-01,Topology of Memory,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-MEM-02,Depths of Recollection,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-MEZZ,Take it to the Mezzanine!,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-MIKE-01,"Red Door, Black Heart",Lending a Hand,1,4,,Jun 2022,
WBW-DC-MIMIC-01,A Day in the Life of a Mimic,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-MOM-01,One Moment,Create a Domain of Delight,2,4,,Apr 2022,
WBW-DC-MOM-02,One Chance,Create a Domain of Delight,2,2,,Aug 2022,
WBW-DC-MOR-01,A Blight in Mordynia,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-MOR-02,Dark Miasma of the Mausoleum,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-MPOP-01,Out on a Limb,Where are We?,1,2,,Aug 2022,
WBW-DC-NBDD-01,Play The Game,Create a Domain of Delight,2,4,,Jan 2022,Copper
WBW-DC-NBDD-02,15 Seconds to Curtain,Create a Domain of Delight,1,2,,Aug 2022,
WBW-DC-NJ-COU-01,Dear Aery,Create a Domain of Delight,1,4,,Oct 2021,
WBW-DC-NJ-COU-02,Aery's Resolve,A Draconic Request,2,4,,Jun 2022,
WBW-DC-NJ-HOPE-01,Promises of Hope,Create a Domain of Delight,2,4,,Mar 2022,
WBW-DC-NTP-01,Cat's Paws,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-NUKE-01,"Magically Delicious, Possibly Rotten",Create a Domain of Delight,1,2,,Aug 2022,
WBW-DC-PAW-01,Sick as a Dog,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PHP-01,Pot Luck!,A Draconic Request,2,4,,Nov 2021,
WBW-DC-PHP-02,A Compendium of Curious Curiosities,Face Off!,2,4,,Feb 2022,
WBW-DC-PHP-HOE-01,The Mill of Mar-Itez,Create a Domain of Delight,1,2,,Aug 2022,
WBW-DC-PHP-HOE-02,"Something Borrowed, Something Brewed",Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PHP-LCL-02,A Mystical Whimsy,Create a Domain of Delight,2,2,,Aug 2022,
WBW-DC-PHP-LCL-01,A Cure for Freedom,Create a Domain of Delight,2,2,,Aug 2022,
WBW-DC-PHP-ORNG-01,What is Real?,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PHP-ORNG-02,Where do they Go?,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PHP-PHAN-01,If The Shoe Fits,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PHP-PHAN-02,Once Upon A Time,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PHP-POLAR-01,Snow Ice,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-PHP-POLAR-02,You've Goat to be kidding me,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-PHP-REV-01,Lost in Reverie,Create a Domain of Delight,1,2,,Jul 2022,
WBW-DC-PHP-SPAMMY-01,Flowers Have Feelings,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PHP-SPRING-01,A Moment of Serendipity,Create a Domain of Delight,2,4,,Jul 2022,Copper
WBW-DC-PHP-TCOM1,Of Festivals and Fiascoes,Create a Domain of Delight,1,4,,Jul 2022,
WBW-DC-PHP-TCOM2,Of Toadstools and Tribulations,Create a Domain of Delight,1,2,,Aug 2022,
WBW-DC-PHP-TCOM3,Of Death and Dawn,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-PHP-TYM-01,i dreamt that i was falling,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PHP-TYM-02,we woke up in the sky,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-PLS-01,Blade of Creation,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-RKS-01,No Glory In Sleep,Create a Domain of Delight,1,4,,Feb 2022,
WBW-DC-ROBIN-01-2,Warmth of Winter,Create a Domain of Delight,2,4,,Sep 2022,
WBW-DC-ROG-01,Imagination Lost,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ROG-02,A Giant Dilemma,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ROG-03,Hope In A Medusa’s Eye,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ROOK-1-1,The Care and Maintenance of the Rookery,Create a Domain of Delight,1,4,,Mar 2022,
WBW-DC-ROOK-1-2,The Rookery: Rise of the Everplume,Create a Domain of Delight,1,4,,Mar 2022,
WBW-DC-ROOK-1-3,The Rookery: City of the Dead,Create a Domain of Delight,1,4,,May 2022,
WBW-DC-ROOK-1-4,The Rookery: Long Live the Goblins,Create a Domain of Delight,1,4,,Jun 2022,
WBW-DC-ROOK-2-1,Rapid Resettlement in the Rookery,Create a Domain of Delight,2,4,,Mar 2022,
WBW-DC-ROOK-2-2,The Rookery: Into the Velarium,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ROOK-2-3,The Rookery: The Court of the Crown,Create a Domain of Delight,2,4,,Aug 2022,
